Name,Length,Status,Premium,URL,Registered,Expires,Grace Period Ends,Price Premium Ends
ccuu,4,Never Registered,,https://app.ens.domains/name/ccuu.eth/register,,,,
ccvv,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18682709880600913606264021091416046943843078911869649139616577001126667618540,2022-05-05 03:30:39,2025-05-04 20:58:15,2025-08-02 20:58:15,2025-08-23 20:58:15
ccww,4,Never Registered,,https://app.ens.domains/name/ccww.eth/register,,,,
ccxx,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64571922548500648564600710948742414909558041659739458045435414395037903225975,2022-05-01 05:17:04,2023-05-01 11:06:16,2023-07-30 11:06:16,2023-08-20 11:06:16
ccyy,4,Never Registered,,https://app.ens.domains/name/ccyy.eth/register,,,,
cczz,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35033977042606160730805242648566490994994755195709251175452187965959951341124,2022-05-02 12:29:54,2023-05-02 18:19:06,2023-07-31 18:19:06,2023-08-21 18:19:06
ddaa,4,Never Registered,,https://app.ens.domains/name/ddaa.eth/register,,,,
ddbb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72304188314425024663816663184765180418891843885394824484333395688228654657333,2022-05-01 04:32:42,2025-04-30 22:00:18,2025-07-29 22:00:18,2025-08-19 22:00:18
ddcc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33421373500587542024113779372677973196655771257368798995580564934111458017360,2022-04-29 03:55:36,2023-04-29 09:44:48,2023-07-28 09:44:48,2023-08-18 09:44:48
ddee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21374225543830464463490195129185574795460093683249602139090693858453988532323,2022-05-01 07:46:24,2023-05-01 13:35:36,2023-07-30 13:35:36,2023-08-20 13:35:36
ddff,4,Never Registered,,https://app.ens.domains/name/ddff.eth/register,,,,
ddgg,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22660297912238308944991288809479357480182460452942453834639567991843984029601,2022-05-03 01:14:48,2023-05-03 07:04:00,2023-08-01 07:04:00,2023-08-22 07:04:00
ddhh,4,Never Registered,,https://app.ens.domains/name/ddhh.eth/register,,,,
ddii,4,Never Registered,,https://app.ens.domains/name/ddii.eth/register,,,,
ddjj,4,Never Registered,,https://app.ens.domains/name/ddjj.eth/register,,,,
ddkk,4,Never Registered,,https://app.ens.domains/name/ddkk.eth/register,,,,
ddll,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72917184399827249395543982971057067995613194987752229847402177738421625652925,2022-05-03 05:44:33,2023-05-03 11:33:45,2023-08-01 11:33:45,2023-08-22 11:33:45
ddmm,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80881706798678237612673623858406295587751863855376129966133922503415420190844,2022-05-01 06:56:26,2023-05-01 12:45:38,2023-07-30 12:45:38,2023-08-20 12:45:38
ddnn,4,Never Registered,,https://app.ens.domains/name/ddnn.eth/register,,,,
ddoo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1078730786013763015244618514461823436644979115963787867595721063877553983624,2022-05-01 08:12:02,2023-05-01 14:01:14,2023-07-30 14:01:14,2023-08-20 14:01:14
ddpp,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/98896019197191666970068053498373196327935947551604826901707053021077784638455,2022-05-03 04:42:16,2022-06-01 09:58:12,2022-08-30 09:58:12,2022-09-20 09:58:12
