Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
38x,0x0da49d6e86e4c9bb000476cf0ff22b40c28d2099,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89886746065904491047221835241461391933923744486676076266634340287580665150603,2022-05-02 19:15:24,2022-05-02 19:15:24,2023-05-03 01:04:36,2023-08-01 01:04:36,2023-08-22 01:04:36
39x,0xb4f2b27ed1193f9550fb5528b29a9a2a17a9907c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7700474264750938512496946167596936571962559087372675522199403469189638627615,2022-05-02 23:31:54,2022-05-02 23:31:54,2022-05-31 02:29:59,2022-08-29 02:29:59,2022-09-19 02:29:59
40x,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31811941317324190905580400719491413656672948779515085355336603268414736452540,2022-04-29 01:43:36,2022-04-29 01:43:36,2022-07-11 02:53:26,2022-10-09 02:53:26,2022-10-30 02:53:26
41x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/90683410946298093835193581436654104137534726991074397479808841732188838799901,2022-04-27 05:36:16,2022-04-27 05:36:16,2022-05-26 10:52:12,2022-08-24 10:52:12,2022-09-14 10:52:12
42x,0x6696e1e7546fad9f5146bd4f839f22ff97608926,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33613345929408683828290194929191882566532151801921005286620084250390471846263,2022-04-30 02:53:53,2022-04-30 02:53:53,2022-05-28 03:14:11,2022-08-26 03:14:11,2022-09-16 03:14:11
43x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/56591112018553728971376600169082660807358094798074629941008237526507460041909,2022-05-02 02:13:58,2022-05-02 02:13:58,2022-05-31 07:29:54,2022-08-29 07:29:54,2022-09-19 07:29:54
44x,0x6eef09b526d883f98762a7005fabd2c800dfca44,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/60328913429732250503546999656369880284733162038657694776569627203689871902199,2022-04-27 05:39:58,2022-04-27 05:39:58,2022-05-26 10:55:54,2022-08-24 10:55:54,2022-09-14 10:55:54
45x,0x53b6baee8ddb9f9624d279d0fa5ee85fa0ad1229,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/37113304250068384685119076558575642191367130152065604814543523779711386916194,2022-05-01 16:35:42,2022-05-01 16:35:42,2022-06-07 05:10:37,2022-09-05 05:10:37,2022-09-26 05:10:37
46x,0x13588fbe1ca4db24a0c1132b1b1763ceaa3e7d4c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/11872331548053532745453228213276855789249531249492417878061167629983086375687,2022-05-02 20:37:40,2022-05-02 20:37:40,2022-05-30 23:35:45,2022-08-28 23:35:45,2022-09-18 23:35:45
47x,0x6efa7b45769842f83c926f4403d8a8417596e90b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63929550373229818075229852371312481138539024581995345853299539432667277537089,2022-05-02 19:35:31,2022-05-02 19:35:31,2022-06-02 03:09:18,2022-08-31 03:09:18,2022-09-21 03:09:18
48x,0x5e76fe0fd15f608353271f78daeb5bf42783768b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/70099965982168002923520705076409146930449890311297914559328423204986326686433,2022-05-03 00:21:11,2022-05-03 00:21:11,2022-05-31 03:19:16,2022-08-29 03:19:16,2022-09-19 03:19:16
49x,0x1f562d605e953fe42f854eaf2268f4cce6658dc1,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113905201725114222526897689249581483997219444307866097071394604431612822417528,2022-05-02 11:34:42,2022-05-02 11:34:42,2022-06-08 00:09:37,2022-09-06 00:09:37,2022-09-27 00:09:37
50x,0x484d006154fa71581816d5b03d224fd85049c8b4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/63920032735481068665335823098252057381766028076433696033151792668834074246798,2021-11-26 13:26:58,2021-11-26 13:26:58,2022-11-26 19:16:10,2023-02-24 19:16:10,2023-03-17 19:16:10
51x,0x546b4a7a30b3193badf70e1d43d8142928f3db0b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64223402065695811162955454545874746585484623014094537220687049801892722151551,2022-05-03 03:01:53,2022-05-03 03:01:53,2022-06-01 08:17:49,2022-08-30 08:17:49,2022-09-20 08:17:49
52x,0x5e76fe0fd15f608353271f78daeb5bf42783768b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/17410001728651604624159176994224288435899555963756786276776781461751363514239,2022-05-03 00:14:55,2022-05-03 00:14:55,2022-05-31 03:13:00,2022-08-29 03:13:00,2022-09-19 03:13:00
53x,0xe8d939f1a9cc4e85e09aff3d60d137a1bea17b21,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/109660727001993236850692053996239113022292954605285490707595725225429273350853,2021-11-11 04:02:28,2021-11-11 04:02:28,2022-11-11 09:51:40,2023-02-09 09:51:40,2023-03-02 09:51:40
54x,0x93a51ca37da14a2706ab4d316a70cdb092242ea5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9883226152250690095600175360875259696867275177593718589777299154488032434140,2022-05-02 20:49:30,2022-05-02 20:49:30,2022-06-08 09:24:25,2022-09-06 09:24:25,2022-09-27 09:24:25
55x,0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/59590960921864907237857810827864663456172191749970858061228708826113336858456,2022-04-27 05:24:32,2022-04-27 05:24:32,2022-05-26 10:40:28,2022-08-24 10:40:28,2022-09-14 10:40:28
56x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/70466645854726046632367721690894124349662810449398381350779878661846827250312,2022-04-27 05:29:26,2022-04-27 05:29:26,2022-05-26 10:45:22,2022-08-24 10:45:22,2022-09-14 10:45:22
57x,0xf502e1d9d872a74cc66f695b631d44d79fdc4d40,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/75036188817980595419211486264170386087321011000500668697124160721409786898770,2022-01-18 17:39:55,2022-01-18 17:39:55,2023-01-18 23:29:07,2023-04-18 23:29:07,2023-05-09 23:29:07
58x,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/102089173891645667447644843941058435762895708322295025095004801346497201014259,2022-04-27 05:24:17,2022-04-27 05:24:17,2022-06-02 17:59:12,2022-08-31 17:59:12,2022-09-21 17:59:12
59x,0x63826726e3d6999f804debf9e7ef1f6ba5e39106,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/68009038829806325503527277539291005539494338749184546019579331531103258957997,2022-05-03 03:01:11,2022-05-03 03:01:11,2022-05-31 14:45:13,2022-08-29 14:45:13,2022-09-19 14:45:13
60x,0x9b0720ec9452a443fd72987813a2bd02d4ce9511,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/19812513553862730397159418656803709957404785201225111792992756250080741381129,2022-04-30 03:10:44,2022-04-30 03:10:44,2024-04-29 14:49:08,2024-07-28 14:49:08,2024-08-18 14:49:08
61x,0x841f62ecd5cca58bd9d7952245d228029b6f2716,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31169036809430969787364854550674475264116697167913437771297092820064303803484,2022-04-28 17:08:26,2022-04-28 17:08:26,2024-04-28 04:46:50,2024-07-27 04:46:50,2024-08-17 04:46:50
62x,0x6efa7b45769842f83c926f4403d8a8417596e90b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93577638988743546266987578774589206428181026699161854392164622852887771347574,2022-05-02 19:49:32,2022-05-02 19:49:32,2022-06-02 03:23:19,2022-08-31 03:23:19,2022-09-21 03:23:19
63x,0x879c7aff4ef80348acf7ca0e99223755a24369f9,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80616395164895128595861033143499026122076108230969058400038754013269176664415,2022-05-03 00:43:18,2022-05-03 00:43:18,2022-05-31 03:41:23,2022-08-29 03:41:23,2022-09-19 03:41:23
64x,0xcac29d3938e3a8330e973e62cf0af6bcdb0b0009,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/26132518135497265457719900275914602249718313642827062153857938819398072073524,2022-05-02 18:28:03,2022-05-02 18:28:03,2022-06-08 07:02:58,2022-09-06 07:02:58,2022-09-27 07:02:58
65x,0x93a51ca37da14a2706ab4d316a70cdb092242ea5,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/8878497499494963321008654504555689928795941049662774890936890758195158078339,2022-05-02 20:52:16,2022-05-02 20:52:16,2022-06-08 09:27:11,2022-09-06 09:27:11,2022-09-27 09:27:11
66x,0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/102115067657101250073346498949379079644063270292880924019404862432247438965325,2022-04-27 05:30:53,2022-04-27 05:30:53,2022-05-26 10:46:49,2022-08-24 10:46:49,2022-09-14 10:46:49
67x,0xa10de6112d8092a6c63bea24b2a5ebfe25677564,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/16971010007350235170517556294333436838093410829299768857100737705730476029172,2022-05-03 00:31:02,2022-05-03 00:31:02,2022-06-02 10:42:36,2022-08-31 10:42:36,2022-09-21 10:42:36
68x,0xbcdb0116ad05d4569b01117dbb489055d12fdbbc,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/17146244250666694192647298833967508489690891892704617465556726334498530633724,2022-05-02 01:40:41,2022-05-02 01:40:41,2022-06-25 20:33:03,2022-09-23 20:33:03,2022-10-14 20:33:03
69x,0xa2b584e5f442f73038320f9e95a490b86ec27d62,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74247195424047460047866952639492430831715646549229735988707436088733315624396,2021-09-30 08:32:51,2021-09-30 08:32:51,2022-09-30 14:22:03,2022-12-29 14:22:03,2023-01-19 14:22:03
70x,0x9b0720ec9452a443fd72987813a2bd02d4ce9511,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/67712799561690486706473892987277477463112537769334248742462267709332785255227,2022-04-30 03:03:19,2022-04-30 03:03:19,2024-04-29 14:41:43,2024-07-28 14:41:43,2024-08-18 14:41:43
71x,0xba8033ad6e881b415a61236bb9f8b2b5764e2fd4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91939671650364589239350005963548453671038912200068845033191826079035341382202,2022-05-03 04:07:42,2022-05-03 04:07:42,2022-05-31 07:05:47,2022-08-29 07:05:47,2022-09-19 07:05:47
72x,0x5e76fe0fd15f608353271f78daeb5bf42783768b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/46398499045681362709146132474002490925516129987120955974341081738646336573861,2022-05-03 00:31:02,2022-05-03 00:31:02,2022-05-31 03:29:07,2022-08-29 03:29:07,2022-09-19 03:29:07
73x,0xa3febef325da288cafba2b41f85321c031a6dccf,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87516825986886885689574314652636350057018593262000629217774898900677032704019,2022-05-03 05:01:51,2022-05-03 05:01:51,2022-06-08 17:36:46,2022-09-06 17:36:46,2022-09-27 17:36:46
74x,0xa10de6112d8092a6c63bea24b2a5ebfe25677564,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21472458413025142513037131197359197976875687614983089169084177403469153661454,2022-05-03 00:53:18,2022-05-03 00:53:18,2022-06-02 11:04:52,2022-08-31 11:04:52,2022-09-21 11:04:52
75x,0xd484d3f381e257b323f45fc4d813cd28df184625,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62262176531251091458748102771605838223765936572359212612629486019306808511861,2022-04-29 01:43:36,2022-04-29 01:43:36,2022-07-11 02:53:26,2022-10-09 02:53:26,2022-10-30 02:53:26
76x,0xba8033ad6e881b415a61236bb9f8b2b5764e2fd4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32846090664659089419522983207230325496389348991369622455378293793476684523284,2022-05-03 04:08:58,2022-05-03 04:08:58,2022-05-31 07:07:03,2022-08-29 07:07:03,2022-09-19 07:07:03
